Set,Name,Number,Owned Nonfoil,Owned Foil,Owned Alt Art
VEN,,SP1,,,
VEN,,SP2,,,
VEN,Ahri Inquisitive,SP3,,1,
VEN,,SP4,,,
VEN,,SP5,,,
VEN,,SP6,,,
VEN,Baccai Sandspinner,1,1,,
VEN,Blade Twirler,2,1,,
VEN,Brittle Steel,3,1,,
VEN,,4,,,
VEN,Forsaken Baccai,5,1,,
VEN,Oasis Raider,6,1,,
VEN,Punching Poro,7,1,,
VEN,,8,,,
VEN,Baccai Reaper,9,2,,
VEN,,10,,,
VEN,,11,,,
VEN,,12,,,
VEN,,13,,,
VEN,,14,,,
VEN,,15,,,
VEN,,16,,,
VEN,,17,,,
VEN,,18,,,
VEN,,19,,,
VEN,Twilight Reveler,20,,1,
VEN,,21,,,
VEN,,22,,,
VEN,,23,,,
VEN,Affectionate Poro,24,1,,
VEN,Esteemed Hierophant,25,1,,
VEN,Field Musicians,26,1,,
VEN,,27,,,
VEN,Mournful Witness,28,1,,
VEN,Ol' Poro,29,1,,
VEN,,30,,,
VEN,,31,,,
VEN,Frostcoat Mother,32,1,,
VEN,,33,,,
VEN,,34,,,
VEN,Sanction,35,,1,
VEN,Sandstone Chimera,36,1,,
VEN,,37,,,
VEN,,38,,,
VEN,,39,,,
VEN,,40,,,
VEN,Dredge Up,41,1,,
VEN,Shen Scourge of Shadows,42,,1,
VEN,,43,,,
VEN,,44,,,
VEN,,45,,,
VEN,,46,,,
VEN,,47,,,
VEN,,48,,,
VEN,,49,,,
VEN,,50,,,
VEN,Iterative Design,51,1,,
VEN,Mesmerize,52,2,,
VEN,Otterpus,53,1,,
VEN,,54,,,
VEN,Applied Researchers,55,1,,
VEN,,56,,,
VEN,,57,,,
VEN,,58,,,
VEN,Shock Blast,59,1,,
VEN,,60,,,
VEN,,61,,,
VEN,,62,,,
VEN,,63,,,
VEN,,64,,,
VEN,,65,,,
VEN,,66,,,
VEN,,67,,,
VEN,,68,,,
VEN,,69,,,
VEN,,70,,,
VEN,,71,,,
VEN,Guttural Roar,72,1,,
VEN,,73,,,
VEN,Legion Marauder,74,1,,
VEN,Platewyrm Egg,75,1,,
VEN,,76,,,
VEN,Tools of Empire,77,1,,
VEN,,78,,,
VEN,,79,,,
VEN,,80,,,
VEN,,81,,,
VEN,Profiteer,82,1,,
VEN,,83,,,
VEN,,84,,,
VEN,,85,,,
VEN,,86,,,
VEN,,87,,,
VEN,,88,,,
VEN,,89,,,
VEN,,90,,,
VEN,,91,,,
VEN,,92,,,
VEN,,93,,,
VEN,Mask Mother,94,1,,
VEN,,95,,,
VEN,Shadowblade Lurker,96,1,,
VEN,Spiderling,97,1,,
VEN,,98,,,
VEN,Tornado Warrior,99,1,,
VEN,Up from the Deep,100,1,,
VEN,Gust Monk,101,1,,
VEN,,102,,,
VEN,,103,,,
VEN,,104,,,
VEN,,105,,,
VEN,,106,,,
VEN,,107,,,
VEN,,108,,,
VEN,Illaoi Prophet of the great kraken,109,,1,
VEN,,110,,,
VEN,,111,,,
VEN,,112,,,
VEN,Kennen Storm of Shuriken,113,,,1
VEN,,114,,,
VEN,,115,,,
VEN,Dragon Form,116,1,,
VEN,Disciple of Shen,117,1,,
VEN,,118,,,
VEN,Keeper of Law,119,1,,
VEN,,120,,,
VEN,,121,,,
VEN,Solari Sunhawk,122,1,,
VEN,,123,,,
VEN,Escaped Grayback,124,2,,
VEN,,125,,,
VEN,,126,,,
VEN,,127,,,
VEN,,128,,,
VEN,,129,,,
VEN,,130,,,
VEN,,131,,,
VEN,Fallen Feline,132,,1,
VEN,,133,,,
VEN,,134,,,
VEN,,135,,,
VEN,,136,,,
VEN,,137,,,
VEN,,138,,,
VEN,Rogue Assassin,139,,1,
VEN,,140,,,
VEN,,141,,,
VEN,,142,,,
VEN,,143,,,
VEN,,144,,,
VEN,,145,,,
VEN,,146,,,
VEN,Eye of Twilight,147,,1,
VEN,,148,,,
VEN,Defender of Tomorrow,149,,1,
VEN,,150,,,
VEN,,151,,,
VEN,,152,,,
VEN,,153,,,
VEN,,154,,,
VEN,,155,,,
VEN,,156,,,
VEN,Dragon Roost,157,1,,
VEN,,158,,,
VEN,,159,,,
VEN,,160,,,
VEN,,161,,,
VEN,,162,,,
VEN,Risen Altar,163,1,,
VEN,,164,,,
VEN,,165,,,
VEN,,166,,,
